evidencetype,sort_order,source
Win-MFT,1,kanvas
Win-Event-Logs,2,kanvas
Win-PreFetch,3,kanvas
Win-Registry-Generic,4,kanvas
Win-SRUM,5,kanvas
Win-UserAssit,6,kanvas
Win-Generic,7,kanvas
Win-ShimCache,8,kanvas
Win-ShellBags,9,kanvas
Win-AmCache,10,kanvas
Win-UAL,11,kanvas
Win-MRU,12,kanvas
O365-UAL-Logs,13,kanvas
O365-Teams-Logs,14,kanvas
O365-SharePoint-Logs,15,kanvas
O365-Email-Logs,16,kanvas
Firewall-Logs,17,kanvas
System-Logs,18,kanvas
Network-Logs,19,kanvas
Netflow-Logs,20,kanvas
DNS-Logs,21,kanvas
AWS-CloudTrail-Logs,22,kanvas
XDR-Logs,23,kanvas
GCP-Logs,24,kanvas
Memory-Dump,25,kanvas
WebBrowser-Chrome,26,kanvas
WebBrowser-Edge,27,kanvas
WebBrowser-Firefox,28,kanvas
Web-Proxy-Logs,29,kanvas
