order,ID,Name,Description
,TA0043,Reconnaissance (Enterprise),The adversary is trying to gather information they can use to plan future operations.
,TA0042,Resource Development (Enterprise),The adversary is trying to establish resources they can use to support operations.
1,TA0001,Initial Access (Enterprise),The adversary is trying to get into your network.
,TA0002,Execution (Enterprise),The adversary is trying to run malicious code.
4,TA0003,Persistence (Enterprise),The adversary is trying to maintain their foothold.
,TA0004,Privilege Escalation (Enterprise),The adversary is trying to gain higher-level permissions.
,TA0005,Defense Evasion (Enterprise),The adversary is trying to avoid being detected.
,TA0006,Credential Access (Enterprise),The adversary is trying to steal account names and passwords.
,TA0007,Discovery (Enterprise),The adversary is trying to figure out your environment.
,TA0008,Lateral Movement (Enterprise),The adversary is trying to move through your environment.
,TA0009,Collection (Enterprise),The adversary is trying to gather data of interest to their goal.
,TA0011,Command and Control (Enterprise),The adversary is trying to communicate with compromised systems to control them.
,TA0010,Exfiltration (Enterprise),The adversary is trying to steal data.
,TA0040,Impact (Enterprise),"The adversary is trying to manipulate, interrupt, or destroy your systems and data."
2,TA0027,Initial Access (Mobile),The adversary is trying to get into your device.
,TA0041,Execution (Mobile),The adversary is trying to run malicious code.
5,TA0028,Persistence (Mobile),The adversary is trying to maintain their foothold.
,TA0029,Privilege Escalation (Mobile),The adversary is trying to gain higher-level permissions.
,TA0030,Defense Evasion (Mobile),The adversary is trying to avoid being detected.
,TA0031,Credential Access (Mobile),"The adversary is trying to steal account names, passwords, or other secrets that enable access to resources."
,TA0032,Discovery (Mobile),The adversary is trying to figure out your environment.
,TA0033,Lateral Movement (Mobile),The adversary is trying to move through your environment.
,TA0035,Collection (Mobile),The adversary is trying to gather data of interest to their goal.
,TA0037,Command and Control (Mobile),The adversary is trying to communicate with compromised devices to control them.
,TA0036,Exfiltration (Mobile),The adversary is trying to steal data.
,TA0034,Impact (Mobile),"The adversary is trying to manipulate, interrupt, or destroy your devices and data."
3,TA0108,Initial Access (ICS),The adversary is trying to get into your ICS environment.
,TA0104,Execution (ICS),"The adversary is trying to run code or manipulate system functions, parameters, and data in an unauthorized way."
6,TA0110,Persistence (ICS),The adversary is trying to maintain their foothold in your ICS environment.
,TA0111,Privilege Escalation (ICS),The adversary is trying to gain higher-level permissions.
,TA0103,Evasion (ICS),The adversary is trying to avoid security defenses.
,TA0102,Discovery (ICS),The adversary is locating information to assess and identify their targets in your environment.
,TA0109,Lateral Movement (ICS),The adversary is trying to move through your ICS environment.
,TA0100,Collection (ICS),The adversary is trying to gather data of interest and domain knowledge on your ICS environment to inform their goal.
,TA0101,Command and Control (ICS),"The adversary is trying to communicate with and control compromised systems, controllers, and platforms with access to your ICS environment."
,TA0107,Inhibit Response Function (ICS),"The adversary is trying to prevent your safety, protection, quality assurance, and operator intervention functions from responding to a failure, hazard, or unsafe state."
,TA0106,Impair Process Control (ICS),"The adversary is trying to manipulate, disable, or damage physical control processes."
,TA0105,Impact (ICS),"The adversary is trying to manipulate, interrupt, or destroy your ICS systems, data, and their surrounding environment."
